City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
223,Peniche,PT,39.3558,-9.3811,84.15,68,3,12.08,clear sky
224,Inirida,CO,3.8653,-67.9239,85.37,58,80,3.6,broken clouds
225,Acapulco,MX,16.8634,-99.8901,80.42,83,75,0.0,broken clouds
226,Sweetwater,US,25.7634,-80.3731,92.01,64,40,1.01,scattered clouds
227,Necochea,AR,-38.5473,-58.7368,48.04,56,100,12.41,overcast clouds
228,Ongandjera,NA,-17.8833,15.0667,83.46,9,19,4.88,few clouds
229,Byron Bay,AU,-28.65,153.6167,56.88,71,100,2.46,overcast clouds
230,Tingi,TZ,-11.3,35.0333,69.19,56,22,2.17,few clouds
231,Mar Del Plata,AR,-38.0023,-57.5575,46.42,61,75,17.27,broken clouds
232,Bubaque,GW,11.2833,-15.8333,78.28,85,100,11.63,overcast clouds
233,Rokosovo,UA,48.2102,23.1762,84.34,37,15,11.95,few clouds
234,Lamu,KE,-2.2717,40.902,80.82,76,64,13.11,broken clouds
235,Luanda,AO,-8.8368,13.2343,77.0,73,0,12.66,clear sky
236,Nador,MA,35.174,-2.9287,86.07,61,0,6.91,clear sky
237,Amapa,BR,1.0,-52.0,87.39,52,7,4.27,clear sky
238,Ayni,TJ,39.3941,68.5377,74.7,39,15,5.99,few clouds
239,Yulara,AU,-25.2406,130.9889,46.24,36,0,0.0,clear sky
240,Katsuura,JP,35.1333,140.3,82.51,86,44,36.69,scattered clouds
241,Tongliao,CN,43.6125,122.2653,67.6,91,100,7.65,light rain
242,Sao Filipe,CV,14.8961,-24.4956,78.91,82,46,5.7,scattered clouds
243,Atar,MR,20.5169,-13.0499,103.14,14,53,12.91,broken clouds
244,Nuuk,GL,64.1835,-51.7216,48.81,76,40,5.75,scattered clouds
245,Bambanglipuro,ID,-7.95,110.2833,76.84,88,55,9.71,broken clouds
246,Kedgwick,CA,47.6446,-67.3434,70.0,46,100,6.55,overcast clouds
